Hectare,Shift,Date
01A,AM,10072018
01A,PM,10142018
01B,AM,10122018
01B,PM,10192018
01C,PM,10132018
01D,AM,10062018
01E,AM,10062018
01F,AM,10102018
01F,PM,10192018
01G,PM,10102018
01G,AM,10062018
01H,PM,10132018
01H,AM,10122018
01I,AM,10072018
02A,AM,10102018
02A,PM,10192018
02C,AM,10102018
02D,AM,10072018
02D,PM,10122018
02E,AM,10102018
02E,PM,10142018
02F,AM,10062018
02G,AM,10102018
02G,PM,10072018
02H,AM,10062018
02H,PM,10062018
02I,AM,10062018
02I,PM,10062018
03A,PM,10172018
03B,PM,10072018
03C,AM,10072018
03C,PM,10082018
03D,AM,10062018
03D,PM,10102018
03E,AM,10062018
03E,PM,10082018
03F,AM,10062018
03G,AM,10082018
03G,PM,10132018
03H,AM,10082018
03I,PM,10132018
03I,AM,10102018
04A,AM,10072018
04A,PM,10072018
04B,PM,10182018
04B,AM,10102018
04C,PM,10102018
04D,AM,10122018
04D,PM,10082018
04E,AM,10202018
